Word,Frequency,Ignore,Count,Coverage
bank,91347,Yes,91347,12.0%
finance,68871,Yes,160218,21.0%
motors,42568,,202786,26.6%
limited,32078,,234864,30.8%
capital,24495,Yes,259359,34.0%
first,23066,,282425,37.0%
india,17021,,299446,39.2%
ors,15498,Yes,314944,41.2%
aphelion,11064,,326008,42.7%
shah,10464,Yes,336472,44.1%
services,9106,,345578,45.3%
investment,9050,Yes,354628,46.4%
credit,8623,Yes,363251,47.6%
reliance,8313,,371564,48.7%
khan,8219,Yes,379783,49.7%
axis,6787,Yes,386570,50.6%
industries,6520,,393090,51.5%
financial,6403,Yes,399493,52.3%
enterprises,6315,,405808,53.1%
jain,6108,Yes,411916,53.9%
aditya,5782,Yes,417698,54.7%
corporation,5208,,422906,55.4%
mrs,4708,Yes,427614,56.0%
medicals,4630,,432244,56.6%
private,4304,,436548,57.2%
anil,3782,Yes,440330,57.7%
small,3706,,444036,58.2%
company,3686,,447722,58.6%
housing,3613,,451335,59.1%
dbs,3321,,454656,59.5%
invest,2965,Yes,457621,59.9%
maharashtra,2913,,460534,60.3%
shankar,2862,Yes,463396,60.7%
bharat,2776,Yes,466172,61.0%
ali,2686,Yes,468858,61.4%
chits,2677,Yes,471535,61.8%
standard,2568,,474103,62.1%
shanghai,2516,,476619,62.4%
ram,2499,Yes,479118,62.7%
banking,2493,Yes,481611,63.1%
ganesh,2427,Yes,484038,63.4%
chartered,2405,,486443,63.7%
krishna,2376,Yes,488819,64.0%
homes,2348,,491167,64.3%
trading,2278,,493445,64.6%
new,2267,,495712,64.9%
mohammed,2135,Yes,497847,65.2%
consumer,2120,,499967,65.5%
development,2085,,502052,65.7%
siemens,2041,,504093,66.0%
developers,1989,,506082,66.3%
chemicals,1939,,508021,66.5%
steel,1897,,509918,66.8%
commercial,1864,,511782,67.0%
weizmann,1849,,513631,67.3%
sustainable,1845,,515476,67.5%
corp,1828,,517304,67.7%
one,1773,,519077,68.0%
international,1714,,520791,68.2%
engineering,1701,,522492,68.4%
raj,1700,Yes,524192,68.6%
solutions,1674,,525866,68.9%
global,1630,,527496,69.1%
society,1526,,529022,69.3%
traders,1522,,530544,69.5%
auto,1511,,532055,69.7%
prop,1482,Yes,533537,69.9%
edelweiss,1454,Yes,534991,70.1%
money,1416,,536407,70.2%
countrywide,1340,,537747,70.4%
transport,1256,,539003,70.6%
